"-OR-","-TAI-"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping","Toimitus"
"Shipping Address","Toimitusosoite"
"Shipping Method","Toimitustapa"
"Shop now using (150 X 40)","Osta nyt käyttäen (150 X 40)"
"Shop now using (150 X 60)","Osta nyt käyttäen (150 X 60)"
"Shortcut","Pikakuvake"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Pikakuvake tuotenäkymässä"
"Shortcut on Shopping Cart","Pikakuvake ostoskorissa"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Solo","Solo"
"Some PayPal solutions conflict.","Osa PayPal-maksutavoista on keskenään ristiriidassa."
"Sorry, no quotes are available for this order at this time.","Valitettavasti tilaukselle ei voida arvioida nyt hintaa."
"Sort Order","Järjestys"
"Specifies what the Authorization Honor Period is on the merchant's PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant's PayPal account. It must mirror the setting in PayPal."
"Specifies what the Order Valid Period is on the merchant's PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant's PayPal account. It must mirror the setting in PayPal."
"State/Province","Maakunta"
"Static","Muuttumaton"
"Street Address","Katuosoite"
"Street Address %s","Katuosoite %s"
"Submitting order information...","Tilausta lähetetään..."
"Subscriber name is too long.","Kirjautuneen nimi on liian pitkä."
"Subscription ID","Kirjautumistunniste"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"Subtotal","Välisumma"
"Summary Text for Aggregated Cart","Summary Text for Aggregated Cart"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","American Express -kortit vaativat erillisen sopimuksen. Lue lisää <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Puhelin"
"Test Mode","Testitila"
"The background color for the checkout page around the header and payment form.","Maksusivun taustaväri ylätunnisteen ja maksulomakkeen ympärillä."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Maksusivun ylätunnisteen taustaväri. 6-merkkinen HTML heksadesimaali ASCII -värikoodi."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"The following error(s) occured:","Seuraavia virheitä ilmeni:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Maksusivun vasemman yläkulman kuva. Suurin sallittu koko 750x90 pikseliä. Suositellaan vahvasti käytettäväksi <strong style=""color:red"">https</strong>-suojattua kuvaa."
"The maximum number of child authorizations is reached.","Maksutapahtumaan liittyvien tapahtumien enimmäismäärä on saavutettu."
"The merchant account is not yet verified.","Kauppiaan tiliä ei ole vielä vahvistettu."
"The payment curency does not match any of the merchant's balances currency.","Maksuvaluutta ei täsmää yhdenkään kauppiaan tilin valuutan kanssa."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Maksu odottaa koska se on tehty sähköpostiosoitteella, jota ei ole vielä rekisteröity tai vahvistettu."
"The payment is pending while it is being reviewed by PayPal for risk.","Maksu odottaa kunnes PayPal on tarkastanut sen riskien varalta."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Maksu on tehty luottokortilla. Rahojen tilittämiseksi kauppiaan on päivitettävä tili Business tai Premier -tilaan."
"There is already another PayPal solution enabled. Enable this solution instead?","Toinen PayPal-maksutapa on käytössä. Korvataanko nykyinen uudella?"
"There was an error processing your order. Please contact us or try again later.","Tilauksen käsittelyssä tapahtui virhe. Ota yhteyttä asiakaspalveluun tai yritä myöhemmin uudestaan."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Tämä ominaisuus on kytkettävä ensin kauppiaan tilille PayPalin teknisen tuen kautta."
"This operation requires an existing transaction object.","Tämä toiminta vaatii olemassaolevan maksutapahtumakohteen."
"Time of Day","Ajankohta"
"Title","Nimi"
"Transaction ID","Makstutapahtuman tunniste"
"Transaction ID must not be empty.","Maksutapahtuman tunniste ei voi olla tyhjä."
"Transaction Information","Maksutapahtuman tiedot"
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transfer Cart Line Items","Siirrä ostoskorin rivien tuotteet"
"Transfer Shipping Options","Siirrä toimitusvalinnat"
"Triggered Fraud Filters","Triggered Fraud Filters"
"URL method for Cancel URL and Return URL","URL method for Cancel URL and Return URL"
"Unable to cancel Express Checkout.","Express-maksutavan peruminen ei onnistu."
"Unable to change status. Current status is not correspond to real status.","Tilaa ei voi muuttaa. Nykyinen tila ei vastaa todellista tilaa."
"Unable to communicate with the PayPal gateway.","Yhteys PayPal-maksuyhteyteen ei onnistu."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to initialize Express Checkout.","Express-maksutavan alustus ei onnistu."
"Unable to place the order.","Tilausta ei voi tehdä."
"Unable to process Express Checkout approval.","Express-maksutavan hyväksyminen ei onnistu."
"Unable to start Express Checkout.","Express-maksutavan käynnistäminen ei onnistu."
"Unable to update Order data.","Tilaustietojen päivitys ei onnistu."
"Unable to update shipping method.","Toimitustavan päivitys ei onnistu."
"Unknown Error. Please try again later.","Tapahtui tuntematon virhe. Yritä myöhemmin uudestaan."
"Unknown reason. Please contact PayPal customer service.","Tuntematon syy. Ota yhteyttä PayPalin asiakaspalveluun."
"Update Order Data","Päivitä tilaustiedot"
"Use Proxy","Käytä välityspalvelinta"
"Use colon to specify port. For example: ""test.example.com:5224"".","Käytä kaksoispistettä portin määrittelemiseen. Esimerkiksi ""testi.esimerkki.fi:5224""."
"User","Käyttäjä"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Uses store frontend name by default.","Käyttää oletuksena kaupan puolen nimeä."
"VAT Number","Alv-numero"
"Vendor","Vendor"
"View","Näytä"
"View Demo","Näytä Demo"
"View Transaction","Näytä maksutapahtuma"
"View Transaction Details","Näytä maksutapahtuman lisätiedot"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Mitätöi"
"We prefer PayPal (150 X 40)","Suosimme PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Suosimme PayPal (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (sisältää Express-maksamisen)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Website Payments Pro Hosted Solution (sisältää Express-maksamisen)"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution ja Express-maksaminen"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro Payflow Edition (sisältää Express-maksamisen)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Edition ja Express-maksaminen"
"Website Payments Pro and Express Checkout","Website Payments Pro ja Express-maksaminen"
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","Website Payments Standard Payment"
"What is PayPal?","Mikä on PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Tehdäänkö maksusopimus jos aktiivisia maksusopimuksia ei ole käytössä."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Maksuvaihtoehto ilmestyy vain asiakkaille, joilla on vähintään yksi aktiivinen maksusopimus."
"WorldLink Withdrawal","WorldLink nosto"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"Yes","Kyllä"
"Yes. Matched Address and five-didgit ZIP","Kyllä. Osoite täsmää ja viisi-numeroinen postinumero"
"You cannot void a verification transaction","You cannot void a verification transaction"
"You will be redirected to the PayPal website in a few seconds.","Sinut ohjataan PayPal-sivustolle muutaman sekunnin kuluessa."
"You will be redirected to the PayPal website when you place an order.","Sinut ohjataan PayPal-sivustolle kun lähetät tilauksen."
"You will be redirected to the PayPal website.","Sinut ohjataan PayPal-sivustolle."
"You will be required to enter your payment details after you place an order.","Tilauksen vahmistamisen jälkeen sinulta pyydetään maksutiedot."
"Zip/Postal Code","Postinumero"
"eBay Auction Payment","eBay huutokauppa -maksu"
"API/Integration","API/Integration"
"API/Integration Settings","API/Integration Settings"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Hyväksy verkkokaupassa PayPal-maksuja. PayPal käsittelee luottokorttimaksut Payflow Pro Gateway -palvelulla."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Hyväksy maksut ilman että asiakkaan tarvitsee poistua verkkokaupasta. Useat suositut nettipalvelujen tarjoajat ja verkkokauppaohjelmistot sisältävät Payflow-maksuyhteyden sisäänrakennettuna, joten se on helppo ottaa käyttöön."
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Lisää Express-makupainike olemassaolevaan verkkokauppaan. Se on nopea ja helppo maksutapa luottokortilla. PayPal käsittelee kaiken maksamiseen liittyvän."
"Billing Information","Maksutiedot"
"Change Payment Method","Vaihda maksutapa"
"Change Shipping Address","Muuta toimitusosoitetta"
"Don‚Äôt have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Eikö sinulla ole PayPal-kauppiastiliä? Voit siitä huolimatta hyväksyä luottokorttimaksuja Payflow Pro Gateway -palvelulla."
"Express Checkout (Payflow Edition) Settings","Express -maksamisen (Payflow Edition) asetukset"
"Express Checkout Settings","Express -maksamisen asetukset"
"Integral Evolution Settings","Integral Evolution Settings"
"Looking for PayPal? We have our own tab to the left under Sales.","Etsitkö PayPal-maksutapaa? Se löytyy vasemmalta valikosta kohdasta Myynti."
"Not sure what PayPal payment method to use? Click <a href="%s" target="_blank">here</a> to learn more.","Etkö ole varma mitä PayPal-maksutapaa käyttää? Paina <a href="%s" target="_blank">tästä</a> lukeaksesi lisää."
"Pasarela integral Settings","Pasarela integral Settings"
"Pay Now","Maksa nyt"
"PayPal","PayPal"
"PayPal Payments Advanced","PayPal maksut lisäasetukset"
"PayPal Pro Settings","PayPal Pro asetukset"
"PayPal processes all of your orders, and you get paid.","PayPal käsittelee kaikki tilaukset ja sinä saat maksut."
"Payer Email: %s","Maksajan sähköposti: %s"
"Payflow Link (for USA and Canada)","Payflow Link (USA ja Kanada)"
"Payflow Link Settings","Payflow Link asetukset"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro asetukset"
"Payment Method","Maksutapa"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>"
"Paypal Billing Agreement Settings","Paypal maksusopimusasetukset"
"Process credit cards directly on your website with PayPal's all-in-one online payment processing solution.","Process credit cards directly on your website with PayPal's all-in-one online payment processing solution."
"Select a PayPal Solution","Valitse PayPal-maksutapa"
"Shipping Information","Toimitustiedot"
"Update Shipping Method","Päivitä toimitustapa"
"Vendor / Merchant Login","Vendor / Merchant Login"
"View PayPal solutions.","Näytä PayPal-maksutavat"
"Website Payments Plus Settings","Website Payments Plus Settings"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) asetukset"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Hosted Solution asetukset"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (sisältää Express-maksamisen)"
"Website Payments Pro Settings","Website Payments Pro asetukset"
"Website Payments Standard Settings","Website Payments Standard asetukset"
